2021-08-08 00:24:38,852 - crypto_trading_logger - INFO - Starting
2021-08-08 00:24:38,852 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:24:57,976 - crypto_trading_logger - INFO - Starting
2021-08-08 00:24:57,977 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:24:58,113 - crypto_trading_logger - INFO - base time 2021-08-08 00:24:00
2021-08-08 00:26:44,915 - crypto_trading_logger - INFO - Starting
2021-08-08 00:26:44,915 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:28:45,162 - crypto_trading_logger - INFO - now 2021-08-08 00:28:45.162297, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:46,221 - crypto_trading_logger - INFO - now 2021-08-08 00:28:46.221040, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:47,266 - crypto_trading_logger - INFO - now 2021-08-08 00:28:47.266663, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:48,318 - crypto_trading_logger - INFO - now 2021-08-08 00:28:48.318946, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:49,377 - crypto_trading_logger - INFO - now 2021-08-08 00:28:49.377386, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:50,441 - crypto_trading_logger - INFO - now 2021-08-08 00:28:50.441043, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:51,487 - crypto_trading_logger - INFO - now 2021-08-08 00:28:51.487557, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:52,561 - crypto_trading_logger - INFO - now 2021-08-08 00:28:52.561425, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:53,626 - crypto_trading_logger - INFO - now 2021-08-08 00:28:53.626067, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:54,685 - crypto_trading_logger - INFO - now 2021-08-08 00:28:54.685803, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:55,741 - crypto_trading_logger - INFO - now 2021-08-08 00:28:55.741960, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:56,795 - crypto_trading_logger - INFO - now 2021-08-08 00:28:56.795588, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:57,852 - crypto_trading_logger - INFO - now 2021-08-08 00:28:57.852678, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:58,913 - crypto_trading_logger - INFO - now 2021-08-08 00:28:58.913047, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:59,969 - crypto_trading_logger - INFO - now 2021-08-08 00:28:59.969480, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:01,029 - crypto_trading_logger - INFO - now 2021-08-08 00:29:01.029523, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:02,082 - crypto_trading_logger - INFO - now 2021-08-08 00:29:02.082813, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:03,137 - crypto_trading_logger - INFO - now 2021-08-08 00:29:03.137011, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:04,194 - crypto_trading_logger - INFO - now 2021-08-08 00:29:04.194566, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:05,255 - crypto_trading_logger - INFO - now 2021-08-08 00:29:05.255078, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:06,300 - crypto_trading_logger - INFO - now 2021-08-08 00:29:06.300808, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:07,351 - crypto_trading_logger - INFO - now 2021-08-08 00:29:07.351645, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:08,403 - crypto_trading_logger - INFO - now 2021-08-08 00:29:08.403451, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:09,462 - crypto_trading_logger - INFO - now 2021-08-08 00:29:09.462918, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:10,525 - crypto_trading_logger - INFO - now 2021-08-08 00:29:10.525374, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:11,581 - crypto_trading_logger - INFO - now 2021-08-08 00:29:11.581002, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:12,652 - crypto_trading_logger - INFO - now 2021-08-08 00:29:12.652065, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:13,706 - crypto_trading_logger - INFO - now 2021-08-08 00:29:13.706868, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:14,765 - crypto_trading_logger - INFO - now 2021-08-08 00:29:14.765979, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:15,823 - crypto_trading_logger - INFO - now 2021-08-08 00:29:15.823354, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:16,874 - crypto_trading_logger - INFO - now 2021-08-08 00:29:16.874213, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:17,916 - crypto_trading_logger - INFO - now 2021-08-08 00:29:17.916077, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:18,967 - crypto_trading_logger - INFO - now 2021-08-08 00:29:18.967652, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:20,024 - crypto_trading_logger - INFO - now 2021-08-08 00:29:20.024895, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:21,082 - crypto_trading_logger - INFO - now 2021-08-08 00:29:21.082537, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:22,152 - crypto_trading_logger - INFO - now 2021-08-08 00:29:22.152392, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:23,228 - crypto_trading_logger - INFO - now 2021-08-08 00:29:23.228203, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:24,294 - crypto_trading_logger - INFO - now 2021-08-08 00:29:24.294708, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:25,337 - crypto_trading_logger - INFO - now 2021-08-08 00:29:25.337373, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:26,391 - crypto_trading_logger - INFO - now 2021-08-08 00:29:26.391702, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:27,443 - crypto_trading_logger - INFO - now 2021-08-08 00:29:27.443788, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:29:28,493 - crypto_trading_logger - INFO - now 2021-08-08 00:29:28.493991, tick 2021-08-08 00:27:00, t_price 278.5
